frame,time,left_WRIST,left_THUMB_CMC,left_THUMB_MCP,left_THUMB_IP,left_THUMB_TIP,left_INDEX_MCP,left_INDEX_PIP,left_INDEX_DIP,left_INDEX_TIP,left_MIDDLE_MCP,left_MIDDLE_PIP,left_MIDDLE_DIP,left_MIDDLE_TIP,left_RING_MCP,left_RING_PIP,left_RING_DIP,left_RING_TIP,left_PINKY_MCP,left_PINKY_PIP,left_PINKY_DIP,left_PINKY_TIP,right_WRIST,right_THUMB_CMC,right_THUMB_MCP,right_THUMB_IP,right_THUMB_TIP,right_INDEX_MCP,right_INDEX_PIP,right_INDEX_DIP,right_INDEX_TIP,right_MIDDLE_MCP,right_MIDDLE_PIP,right_MIDDLE_DIP,right_MIDDLE_TIP,right_RING_MCP,right_RING_PIP,right_RING_DIP,right_RING_TIP,right_PINKY_MCP,right_PINKY_PIP,right_PINKY_DIP,right_PINKY_TIP
1385,17:36:08,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.4603484990925555,-0.10622963478193279)","(0.8711443273319875,-0.3591938138653167)","(1.0842771753980722,-0.696159873722278)","(0.9415920674786328,-0.9832870703944769)","(0.6268790039956162,-0.8464317148550029)","(0.845494493867738,-1.0118247426704556)","(0.7863508459735238,-0.674507645649363)","(0.672274874271754,-0.5679727465262346)","(0.41592563786867387,-0.909398627535547)","(0.6465370851869616,-1.0302997983278401)","(0.5727380563963642,-0.643306735521256)","(0.44525670574220305,-0.5914521853029542)","(0.18312887482008547,-0.9344267695824003)","(0.42944959984519027,-1.0365074008736073)","(0.3693129733828312,-0.6688950898017587)","(0.2451354557253139,-0.6124534969085349)","(-0.08556903901766447,-0.9407452702543241)","(0.1958088442795808,-1.0014762141909512)","(0.16559721050599874,-0.7210305034078529)","(0.04316691330044012,-0.6437456161176386)"
1386,17:36:08,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.4631194706256485,-0.09723532633147398)","(0.882284007145065,-0.3476057680354812)","(1.1048036971142363,-0.6841774736199862)","(0.9623116537466295,-0.971085135402843)","(0.6427144914390588,-0.8333978441318004)","(0.863791400467199,-1.0004700662240507)","(0.799992419941526,-0.6606377531592192)","(0.6832269329084417,-0.5515849028916606)","(0.429036789025693,-0.9032870162149587)","(0.6641370777892459,-1.0234842900585217)","(0.5839064760537285,-0.6361379250782366)","(0.4535050690864146,-0.5880085159300399)","(0.19239645574961858,-0.9342014565599726)","(0.4455586125172943,-1.0373744164231573)","(0.37921210088260776,-0.6649025443747109)","(0.25093124477897066,-0.6079353616661948)","(-0.08127248364651778,-0.9469022111715936)","(0.20913695143941846,-1.008977952272869)","(0.1751615558867041,-0.7224555294016822)","(0.048563109007957246,-0.6423478738317665)"
1387,17:36:08,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.45140803518029016,-0.11844710659587473)","(0.8613544676906276,-0.370239695673074)","(1.0841531198625425,-0.7055129274638003)","(0.9534816697148604,-1.0061663524525386)","(0.6249713339098429,-0.8452934889091895)","(0.8689242891002167,-1.0131904401613445)","(0.8008068579026215,-0.6868759988362128)","(0.6693975625463483,-0.5870692463331466)","(0.41105890943192586,-0.9116087828540463)","(0.6755485562614226,-1.041607243267987)","(0.5898379356890613,-0.6461105648813298)","(0.44361167633742266,-0.5928795204409111)","(0.17579875733274047,-0.9412407697478186)","(0.4435669169252023,-1.0586509880213137)","(0.3807427429513571,-0.6863046312373594)","(0.24269717964037593,-0.6284433854577913)","(-0.10268836802909792,-0.9550565273501892)","(0.1918926205802996,-1.0312726146964002)","(0.17071844986355908,-0.7506763162158528)","(0.04322457543699838,-0.6699733832499889)"
1388,17:36:08,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.4583043033242794,-0.12252342861598535)","(0.8672566848972303,-0.36783415417305027)","(1.0884745005948957,-0.6999883205374763)","(0.9570664796390268,-0.9988930271499423)","(0.618504505701221,-0.845676961328457)","(0.8616812702353954,-1.0114086572794425)","(0.8003453287193721,-0.6852267334595383)","(0.6714880349060804,-0.5776494630297174)","(0.40849277672691026,-0.9127615523026475)","(0.6732038626158898,-1.0391592651996469)","(0.5939761447457464,-0.6488152971849794)","(0.4476039642240218,-0.5883679174424491)","(0.17594856128719416,-0.9433988181756795)","(0.4462905471032594,-1.0617326535340974)","(0.3908040285918393,-0.6900956509348839)","(0.2539339560930771,-0.6248695884810298)","(-0.09737857737247772,-0.9519586451180325)","(0.20343655414291562,-1.0260492477419876)","(0.18371684022065593,-0.7477495127745712)","(0.05371600306583984,-0.6645773280291748)"
1389,17:36:08,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.43276446926535267,-0.07764617536973917)","(0.8792209719745303,-0.3206049307663783)","(1.1059332764316387,-0.6353020301013502)","(1.0149005763153476,-0.9245809198189974)","(0.6869310620121707,-0.8155637320643054)","(0.8888830265131342,-0.9905702854489273)","(0.8299661302271811,-0.6963419838417849)","(0.7320528726668605,-0.5644200224816421)","(0.4577573606179291,-0.8890771613308416)","(0.6562342776831958,-1.0417194521130424)","(0.5852272166900144,-0.6915739962402412)","(0.4771847498741404,-0.6019223550297191)","(0.1980723460329451,-0.9184003534778054)","(0.40337316463830664,-1.0825390619337472)","(0.36545041564413167,-0.7351914045524269)","(0.2678609061062942,-0.6298791367289732)","(-0.10581042939326066,-0.9229421164488498)","(0.12052500500668938,-1.0375130077364114)","(0.12744899484387598,-0.7740986211248291)","(0.04769389749669313,-0.6668667783187714)"
1390,17:36:08,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.43108616851946924,-0.06631168282669739)","(0.8567794049171671,-0.3118334398374907)","(1.1150965953128549,-0.5831686532878373)","(1.1336317680492405,-0.8602909135105381)","(0.6694823235391942,-0.8166381189979062)","(0.8704160109262149,-0.9956772374842264)","(0.8201918114647543,-0.7089585730077677)","(0.746400660307537,-0.5676439631387875)","(0.44791952652748196,-0.8940738771239188)","(0.6394840674514607,-1.0244638884718074)","(0.5735057567746714,-0.7138402889570364)","(0.48393134711033015,-0.6058468402970562)","(0.20076677359884942,-0.9281840646303446)","(0.3918964961346796,-1.0488080823060024)","(0.3509262202483829,-0.7484355056159925)","(0.2721008991430146,-0.6250690238095845)","(-0.0789792552401619,-0.9289847043018452)","(0.1175227913712875,-1.0221309665621023)","(0.1163888934064874,-0.7851850031657991)","(0.060162287397552604,-0.6584199015934225)"
1761,17:36:27,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.407506182102973,-0.017521982341972497)","(0.7938952410092267,-0.17419484760755)","(1.1235115945235878,-0.2952365224634573)","(1.3782889155108802,-0.38607995161736863)","(0.6888190748089683,-0.7650387171169182)","(0.9259369166989964,-1.1072324647966831)","(1.0542323266281082,-1.3149308186489197)","(1.158268239598937,-1.489508079107125)","(0.4340897561611182,-0.9008696263033742)","(0.5999415714845063,-1.3091611631370934)","(0.7177102333006212,-1.561879157721266)","(0.8054114622999831,-1.7620474809371076)","(0.1662132651270718,-0.9261703313296652)","(0.24247196901322948,-1.3426814658604096)","(0.3065793971504777,-1.6140988889590009)","(0.365287126323282,-1.8256030123760318)","(-0.07864085253228889,-0.8603445409652984)","(-0.10604419891175695,-1.1869038919673567)","(-0.12024186734122402,-1.4114677332371521)","(-0.10993716259946208,-1.5997950598403154)"
1762,17:36:27,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.4161918750805892,-0.03802475925694661)","(0.8081966881420476,-0.1994309789407599)","(1.1181527357269712,-0.3359476562252778)","(1.3589333657558156,-0.42134381143279803)","(0.7061101516237697,-0.7516399869450988)","(0.9337720246555131,-1.08391680477265)","(1.0488130504168585,-1.2994702171223187)","(1.1392698269713242,-1.4792140035084813)","(0.4665096687825136,-0.8845160987412436)","(0.6317057920362243,-1.2969874663474208)","(0.7414682480458517,-1.5663419180141889)","(0.8217577935523265,-1.7795413635230133)","(0.2105487462573074,-0.9155536471946355)","(0.29203465067331946,-1.3306095024022269)","(0.3514859300103893,-1.6026184167559643)","(0.4093800569116911,-1.8226058177715323)","(-0.038681333995878225,-0.866691434527697)","(-0.047499435468823355,-1.19158426792828)","(-0.04935179012722264,-1.410187799964626)","(-0.033863971191033786,-1.5963650758656334)"
1763,17:36:27,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.39716213657484734,-0.047510333994277155)","(0.7677748433072323,-0.22630628598356356)","(1.0448788024206608,-0.3362394392433132)","(1.2773810696641665,-0.3856262161089135)","(0.673752126334865,-0.772886884257762)","(0.8773936174168088,-1.0827462503704732)","(1.0016349138545357,-1.2716491602068256)","(1.1123170219779115,-1.4315199297970216)","(0.4534990113796171,-0.8912567793165502)","(0.591112114032022,-1.290638619500185)","(0.6908719842109122,-1.5381807377665007)","(0.7770084301479727,-1.7410030978727193)","(0.21658011445404518,-0.9166364434235361)","(0.2875553247680922,-1.3360101183300899)","(0.33534488840630744,-1.6039432517257992)","(0.39180941573022493,-1.8277416327295213)","(-0.02773009274420748,-0.86066392725333)","(-0.04987968928870224,-1.1995870190076605)","(-0.07568401514584398,-1.422558772112999)","(-0.08567098126358269,-1.6294270124474046)"
1764,17:36:27,"(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(-1.0,-1.0)","(0.0,0.0)","(0.38671553668244824,-0.05055446975683331)","(0.765656051664265,-0.23053309734872812)","(1.0388132737794213,-0.3415873170540901)","(1.2611621462348646,-0.38838334969492944)","(0.6691784677655209,-0.7718478064665999)","(0.8709742603828012,-1.0767689231607946)","(0.9843282149140926,-1.2618793791035305)","(1.0839752313333446,-1.4218397816796158)","(0.4536426432715063,-0.8911836803968309)","(0.5983536242723362,-1.2832258235731797)","(0.698474421011457,-1.518027412666761)","(0.7831870507809272,-1.7105108332771264)","(0.22385685305206113,-0.9192062483829841)","(0.30030860278471905,-1.3214060032777946)","(0.3560121724557196,-1.5749941012836792)","(0.4173408769238009,-1.790848906188496)","(-0.015534986140927388,-0.8665541895332314)","(-0.029995834031166863,-1.1889007434815206)","(-0.04946946129146452,-1.402573896299886)","(-0.05273761146529668,-1.6019865352585747)"
